"edge_id","source","target","length","car","car reverse","bike","bike reverse","foot","WKT"
168,592267212,592267226,97.6460189819,1,1,2,2,1,LINESTRING(139.9241214 37.5213768,139.9230148 37.5214058)
169,592267226,592267223,75.327911377,1,1,2,2,1,LINESTRING(139.9230148 37.5214058,139.9221619 37.5214423)
170,906919582,2800713800,27.4185600281,0,0,5,5,1,LINESTRING(139.9313276 37.5071005,139.931075 37.5071454,139.9310876 37.5071854)
171,2800713800,2800714347,124.196151733,0,0,5,5,1,LINESTRING(139.9310876 37.5071854,139.9303339 37.5072781,139.9304363 37.5077835)
172,2800714347,906919603,54.3186721802,0,0,5,5,1,LINESTRING(139.9304363 37.5077835,139.9305341 37.5082658)
173,944844770,1999740393,6.51397275925,1,1,2,2,1,LINESTRING(139.9403454 37.5242246,139.9404189 37.5242188)
174,1999740393,1921430229,104.722885132,1,1,2,2,1,LINESTRING(139.9404189 37.5242188,139.9416005 37.5241251)
175,1921430229,2358258687,18.5845394135,1,1,2,2,1,LINESTRING(139.9416005 37.5241251,139.9418112 37.5241282)
176,2358258687,1979215162,61.5054893494,1,1,2,2,1,LINESTRING(139.9418112 37.5241282,139.9419521 37.5241303,139.9421197 37.5241183,139.9423647 37.5241158,139.9425079 37.524116)
177,1979215162,944844781,62.8416099548,1,1,2,2,1,LINESTRING(139.9425079 37.524116,139.9426547 37.524093,139.9432001 37.5239824)
178,944844781,2358258680,69.6111450195,1,1,2,2,1,LINESTRING(139.9432001 37.5239824,139.943984 37.523909)
179,2358258680,1295726102,104.989555359,1,1,2,2,1,LINESTRING(139.943984 37.523909,139.9451663 37.5237983)
180,944844774,1999740395,21.661272049,1,1,2,2,1,LINESTRING(139.9400261 37.524246,139.9402708 37.5242291)
181,1999740395,944844770,6.59783267975,1,1,2,2,1,LINESTRING(139.9402708 37.5242291,139.9403454 37.5242246)
182,560358025,2325087394,37.3828163147,1,1,2,2,1,LINESTRING(139.9249277 37.5071956,139.9245116 37.5071318)
183,2325087394,583541164,9.9813079834,1,1,2,2,1,LINESTRING(139.9245116 37.5071318,139.9244005 37.5071148)
184,1242645185,1242645107,41.717124939,5,0,0,0,0,LINESTRING(139.9321309 37.5178746,139.9316579 37.5178728)
185,256825392,256825393,42.385181427,5,0,0,0,0,LINESTRING(139.9316485 37.5179649,139.932129 37.5179579)
186,256825398,1242645145,30.5607624054,5,0,0,0,0,LINESTRING(139.9357904 37.5178179,139.9361361 37.5177991)
187,305897723,305897724,34.8433227539,5,0,0,0,0,LINESTRING(139.9361737 37.5176946,139.9357792 37.5177114)
